"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"queryable";"translatable";"options[checkbox]";"options[readonly]"
"DCOOR";5;"Latitude";"Latitude";"XShortTextDef";20;;;1;;;;;;
"DCOOR";6;"Altitude";"Altitude";"XShortTextDef";20;;;1;;;;;;
"DCOOR";7;"att_Altitude_altitudeMini";"Altitude min";"XShortTextDef";20;;;1;;;;;;
"DCOOR";8;"att_Altitude_altitudeMaxi";"Altitude max";"XShortTextDef";20;;;1;;;;;;
;;;;;;;;;;;;;;
"DENV";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DENV";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DPOINT";1;1;1;;1;;0;
"DENV";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Environnement";;1;;1;1;;0;
"DENV";4;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DENV";5;"Distance";"Distance";"XRealDef";5;;;1;;;1;;;
"DENV";6;"att_Distance_unite";"Unité";"XLinkDef";;"tzrprefix_LS_DistanceUnite";;1;;;;;0;
"DENV";7;"Commune";"Commune";"XLinkDef";;"tzrprefix_LS_Commune";;;;;1;;0;
"DENV";8;"ObservationDetailEnvironnement";"Observations";"XTextDef";60;;;;;;;1;;
;;;;;;;;;;;;;;
"DCARTE";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCARTE";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DPOINT";1;1;1;1;1;;0;
"DCARTE";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Carte";;1;;1;1;;0;
"DCARTE";4;"Numero";"Numéro de carte";"XShortTextDef";20;;;1;;;1;;;
"DCARTE";5;"Pli";"Pli";"XShortTextDef";50;;;1;;;1;;;
"DCARTE";6;"Reference";"Référence";"XShortTextDef";50;;;1;;;1;;;
;;;;;;;;;;;;;;
"DACCES";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DACCES";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DPOINT";1;1;1;;1;;0;
"DACCES";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Acces";;1;;1;1;;0;
"DACCES";4;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DACCES";5;"Distance";"Distance";"XRealDef";5;;;1;;;1;;;
"DACCES";6;"att_Distance_unite";"Unité";"XLinkDef";;"tzrprefix_LS_DistanceUnite";;1;;;;;0;
