"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"translatable";"queryable"
"LS_Unite";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Disposition";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Disposition";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Disposition";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_OffrePrestation";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_OffrePrestation";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_OffrePrestation";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Prestation";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Prestation";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Prestation";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_DescrComp";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_DescrComp";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_DescrComp";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Description";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Description";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Description";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_ThesaurusOrigine";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_ThesaurusOrigine";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_ThesaurusOrigine";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Denivele";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Denivele";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Denivele";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Itineraires";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Itineraires";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Itineraires";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Planning";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Planning";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Planning";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Pays";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Pays";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Pays";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Commune";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Commune";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;0;1
"LS_EtatPlanning";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_EtatPlanning";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_EtatPlanning";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
